"Дата","Подразделение/дивизион","Показатель","Основной прогноз в миллионах тенге (Среднее_значение_прогноза)","нижняя_граница_доверительного_интервала_прогноза","верхняя_граница_доверительного_интервала_прогноза"
"2025-03-01","Дивизион_по_корпоративному_бизнесу","ARPU","9894.60747059082","9404.57502176213","10384.639919419500"
"2025-03-01","Дивизион_по_розничному_бизнесу","ARPU","9894.84802645238","9404.7433069769","10384.952745927900"
"2025-03-01","Дивизион_информационных_технологий","ARPU","9896.90043328689","9406.802500893420","10386.998365680400"
"2025-03-01","Дирекция_управления_проектами_(ДУП)","ARPU","9895.97733429321","9405.816894827571","10386.137773758899"
"2025-03-01","Дирекция_телеком-комплектации","ARPU","9894.467424868890","9404.46412871243","10384.470721025300"
"2025-03-01","Корпоративный_университет","ARPU","9893.033452395281","9402.893583277570","10383.173321513001"
"2025-03-01","Обьединение_""Дивизион_Сеть""","ARPU","9895.639797178750","9405.55190009967","10385.727694257799"
"2025-03-01","Сервисная_Фабрика","ARPU","9894.709254283211","9404.645095502530","10384.773413063900"
"2025-03-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","ARPU","9896.972419190430","9406.8350773555","10387.109761025400"
"2025-04-01","Дивизион_по_корпоративному_бизнесу","ARPU","10085.177698429299","9590.94929766871","10579.406099189800"
"2025-04-01","Дивизион_по_розничному_бизнесу","ARPU","10084.958631159599","9590.177427658380","10579.739834660901"
"2025-04-01","Дивизион_информационных_технологий","ARPU","10096.310780518899","9601.69296629506","10590.928594742700"
"2025-04-01","Дирекция_управления_проектами_(ДУП)","ARPU","10095.264874377801","9600.040326291601","10590.48942246410"
"2025-04-01","Дирекция_телеком-комплектации","ARPU","10087.601845968800","9593.864345045449","10581.339346892100"
"2025-04-01","Корпоративный_университет","ARPU","10082.901401671999","9588.123898061071","10577.67890528290"
"2025-04-01","Обьединение_""Дивизион_Сеть""","ARPU","10092.034009805600","9597.523760613400","10586.54425899780"
"2025-04-01","Сервисная_Фабрика","ARPU","10089.42642039230","9595.310634651179","10583.542206133399"
"2025-04-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","ARPU","10091.326093193200","9596.35373314205","10586.29845324440"
"2025-05-01","Дивизион_по_корпоративному_бизнесу","ARPU","10201.54112087400","9695.393627761010","10707.688613987000"
"2025-05-01","Дивизион_по_розничному_бизнесу","ARPU","10197.974802921100","9691.41228758474","10704.537318257500"
"2025-05-01","Дивизион_информационных_технологий","ARPU","10204.019788298599","9697.314319136191","10710.725257460999"
"2025-05-01","Дирекция_управления_проектами_(ДУП)","ARPU","10202.521755170899","9695.653667842460","10709.38984249930"
"2025-05-01","Дирекция_телеком-комплектации","ARPU","10193.825559330500","9689.572916313229","10698.07820234780"
"2025-05-01","Корпоративный_университет","ARPU","10194.21582617420","9687.038270793470","10701.393381554901"
"2025-05-01","Обьединение_""Дивизион_Сеть""","ARPU","10197.705965989700","9692.253611161830","10703.1583208176"
"2025-05-01","Сервисная_Фабрика","ARPU","10204.684847286000","9699.774868707191","10709.594825864900"
"2025-05-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","ARPU","10200.03270259550","9692.59534910745","10707.47005608360"
"2025-06-01","Дивизион_по_корпоративному_бизнесу","ARPU","9494.675413105790","8964.801883065211","10024.54894314640"
"2025-06-01","Дивизион_по_розничному_бизнесу","ARPU","9498.08576036971","8969.996471268490","10026.17504947090"
"2025-06-01","Дивизион_информационных_технологий","ARPU","9490.690162094490","8963.177764469450","10018.20255971950"
"2025-06-01","Дирекция_управления_проектами_(ДУП)","ARPU","9498.659162990280","8969.725013616160","10027.593312364401"
"2025-06-01","Дирекция_телеком-комплектации","ARPU","9480.625913613350","8956.486630861620","10004.765196365101"
"2025-06-01","Корпоративный_университет","ARPU","9483.336448497699","8955.880434854211","10010.792462141200"
"2025-06-01","Обьединение_""Дивизион_Сеть""","ARPU","9491.910922049430","8967.185760894770","10016.636083204099"
"2025-06-01","Сервисная_Фабрика","ARPU","9494.70665024008","8970.093947979980","10019.31935250020"
"2025-06-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","ARPU","9480.348093593029","8951.432278387851","10009.26390879820"
"2025-07-01","Дивизион_по_корпоративному_бизнесу","ARPU","10558.409197547500","9993.589118578289","11123.229276516700"
