"Год","Месяц","Отделение(дивизион)","субдивизион_1","субдивизион_2","субдивизион_3","Операционные_расходы_млн_тенге"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.1. Материалы, всего","2.1.5. Наемный транспорт","0.09035714"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.1.Оплата труда основного производств.персонала","383.70898172"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.2. Социальный налог","24.26631956"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.3. Социальное страхование","10.45229085"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.4. Расходы на социальное обеспечение","9.20333264"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.6.Обязательное социальное медицин.отчисление","10.40790756"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.3. Охрана объектов производствен.назначения","0.85478786"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.4. Затраты на обеспечение условий труда и техники безопасности производства","0.13468441"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.5. Командировочные расходы","16.32912368"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.6. Подготовка и повышение квалификации кадров","0.02783103"
